TimeStep,Vel,Enc1,Enc2,SteerDegCmd,SteerDegMega,Stepper,State
0,0.2,40412,-121885,0,0,0.0,MOVING
1,0.2,40412,-121885,0,0,0.0,MOVING
2,0.2,40412,-121885,0,0,0.0,MOVING
3,0.2,41033,-122866,0,0,0.0,MOVING
4,0.2,41033,-122866,0,0,0.0,MOVING
5,0.2,41033,-122866,0,0,0.0,MOVING
6,0.2,41033,-122866,0,0,0.0,MOVING
7,0.2,41033,-122866,0,0,0.0,MOVING
8,0.2,41033,-122866,0,0,0.0,MOVING
9,0.2,41033,-122866,0,0,0.0,MOVING
10,0.2,41033,-122866,0,0,0.0,MOVING
11,0.2,41033,-122866,0,0,0.0,MOVING
12,0.2,41033,-122866,0,0,0.0,MOVING
13,0.2,41033,-122866,0,0,0.0,MOVING
14,0.2,41033,-122866,0,0,0.0,MOVING
15,0.2,41033,-122866,0,0,0.0,MOVING
16,0.2,41033,-122866,0,0,0.0,MOVING
17,0.2,41033,-122866,0,0,0.0,MOVING
18,0.2,41033,-122866,0,0,0.0,MOVING
19,0.2,42043,-123977,0,0,0.0,MOVING
20,0.2,42043,-123977,0,0,0.0,MOVING
21,0.2,42043,-123977,0,0,0.0,MOVING
22,0.2,42043,-123977,0,0,0.0,MOVING
23,0.2,42043,-123977,0,0,0.0,MOVING
24,0.2,42043,-123977,0,0,0.0,MOVING
25,0.2,42043,-123977,0,0,0.0,MOVING
26,0.2,42043,-123977,0,0,0.0,MOVING
27,0.2,42043,-123977,0,0,0.0,MOVING
28,0.2,42043,-123977,0,0,0.0,MOVING
29,0.2,42043,-123977,0,0,0.0,MOVING
30,0.2,42043,-123977,0,0,0.0,MOVING
31,0.2,42043,-123977,0,0,0.0,MOVING
32,0.2,42043,-123977,0,0,0.0,MOVING
33,0.2,42043,-123977,0,0,0.0,MOVING
34,0.2,43047,-125103,0,0,0.0,MOVING
35,0.2,43047,-125103,0,0,0.0,MOVING
36,0.2,43047,-125103,0,0,0.0,MOVING
37,0.2,43047,-125103,0,0,0.0,MOVING
38,0.2,43047,-125103,0,0,0.0,MOVING
39,0.2,43047,-125103,0,0,0.0,MOVING
40,0.2,43047,-125103,0,0,0.0,MOVING
41,0.2,43047,-125103,0,0,0.0,MOVING
42,0.2,43047,-125103,0,0,0.0,MOVING
43,0.2,43047,-125103,0,0,0.0,APPROACHING
44,0.19333333333333308,43047,-125103,0,0,0.0,APPROACHING
45,0.18688888888888866,43047,-125103,0,0,0.0,APPROACHING
46,0.18065925925925902,43047,-125103,0,0,0.0,APPROACHING
47,0.17463728395061706,43047,-125103,0,0,0.0,APPROACHING
48,0.16881604115226317,43047,-125103,0,0,0.0,APPROACHING
49,0.16318883978052112,43047,-125103,0,0,0.0,APPROACHING
50,0.15774921178783707,44055,-126175,0,0,0.0,APPROACHING
51,0.1524909047282425,44055,-126175,0,0,0.0,APPROACHING
52,0.14740787457063442,44055,-126175,0,0,0.0,APPROACHING
53,0.14249427875161325,44055,-126175,0,0,0.0,APPROACHING
54,0.13774446945989283,44055,-126175,0,0,0.0,APPROACHING
55,0.13315298714456308,44055,-126175,0,0,0.0,APPROACHING
56,0.12871455423974432,44055,-126175,0,0,0.0,APPROACHING
57,0.12442406909841952,44055,-126175,0,0,0.0,APPROACHING
58,0.12027660012847224,44055,-126175,0,0,0.0,APPROACHING
59,0.1162673801241898,44055,-126175,0,0,0.0,APPROACHING
60,0.11239180078671679,44055,-126175,0,0,0.0,APPROACHING
61,0.10864540742715954,44055,-126175,0,0,0.0,APPROACHING
62,0.10502389384625421,44055,-126175,0,0,0.0,APPROACHING
63,0.10152309738471242,44055,-126175,0,0,0.0,APPROACHING
64,0.09813899413855531,44055,-126175,0,0,0.0,APPROACHING
65,0.09486769433393683,44055,-126175,0,0,0.0,APPROACHING
66,0.09170543785613891,44911,-127187,0,0,0.0,APPROACHING
67,0.08864858992760091,44911,-127187,0,0,0.0,APPROACHING
68,0.08569363693001425,44911,-127187,0,0,0.0,APPROACHING
69,0.08283718236568047,44911,-127187,0,0,0.0,APPROACHING
70,0.08007594295349113,44911,-127187,0,0,0.0,APPROACHING
71,0.07740674485504145,44911,-127187,0,0,0.0,APPROACHING
72,0.07482652002654004,44911,-127187,0,0,0.0,APPROACHING
73,0.07233230269232202,44911,-127187,0,0,0.0,APPROACHING
74,0.0699212259359113,44911,-127187,0,0,0.0,APPROACHING
75,0.06759051840471424,44911,-127187,0,0,0.0,APPROACHING
76,0.06533750112455709,44911,-127187,0,0,0.0,APPROACHING
77,0.06315958442040523,44911,-127187,0,0,0.0,APPROACHING
78,0.06105426493972507,44911,-127187,0,0,0.0,APPROACHING
79,0.05901912277506754,44911,-127187,0,0,0.0,APPROACHING
80,0.05705181868256526,44911,-127187,0,0,0.0,APPROACHING
81,0.055150091393146417,45588,-127907,0,0,0.0,APPROACHING
82,0.0533117550133749,45588,-127907,0,0,0.0,APPROACHING
83,0.05153469651292908,45588,-127907,0,0,0.0,APPROACHING
84,0.04981687329583144,45588,-127907,0,0,0.0,APPROACHING
85,0.04815631085263705,45588,-127907,0,0,0.0,APPROACHING
86,0.04655110049088251,45588,-127907,0,0,0.0,APPROACHING
87,0.04499939714118639,45588,-127907,0,0,0.0,APPROACHING
88,0.04349941723648021,45588,-127907,0,0,0.0,APPROACHING
89,0.04204943666193084,45588,-127907,0,0,0.0,APPROACHING
90,0.04064778877319983,45588,-127907,0,0,0.0,APPROACHING
